comparison,instance,seed,left_algorithm,right_algorithm,fitness_left,fitness_right,fitness_difference,fitness_relative_degradation,makespan_left,makespan_right,makespan_difference,makespan_relative_degradation,load_imbalance_left,load_imbalance_right,load_imbalance_difference,load_imbalance_relative_degradation,total_idle_distance_left,total_idle_distance_right,total_idle_distance_difference,total_idle_distance_relative_degradation,wall_time_left_s,wall_time_right_s,wall_time_ratio_left_over_right,speedup_right_over_left,seconds_per_primary_left,seconds_per_primary_right,route_evaluations_left,route_evaluations_right,direction_dp_left,direction_dp_right,fitness_winner,abma20_best_fitness_after_generation_5,abma20_final_fitness_after_generation_20,remaining_improvement_after_generation_5,abma20_generation_of_final_best,abma20_primary_evaluation_of_final_best,abma20_time_to_best_s
ABMA1_vs_HGA72,w45,78,ABMA1,HGA-budget72,1.0667882872524257,1.3131507773205529,-0.24636249006812716,-0.18761173074947485,1991.868223994422,2052.035224479451,-60.16700048502889,-0.029320647017787783,593.6340660758933,865.0299821723004,-271.39591609640706,-0.31374162941134826,86.37728411102862,96.07872131775146,-9.701437206722844,-0.10097383763714193,80.5414343001321,3.3001291998662055,24.40553972959526,0.04097430382936194,1.0857584597251844,0.008077919444379708,1247940,649,945791,421,left,,,,,,
ABMA20_vs_HGA252,w45,78,ABMA20,HGA-budget252,0.9900513933141646,1.3131507773205529,-0.32309938400638827,-0.24604896070325105,1984.286893130935,2052.035224479451,-67.74833134851588,-0.03301518928151046,438.7211873684314,865.0299821723004,-426.308794803869,-0.492825455290352,89.83413225688663,96.07872131775146,-6.244589060864826,-0.06499450632999919,206.4037520000711,3.5989941000007093,57.35040021322359,0.01743666994967935,0.8096479206357062,0.004227426587714858,3473712,1369,2403266,587,left,,,,,,
ABMA1_vs_ABMA20,w45,79,ABMA1,ABMA20,1.0338457677475463,0.9712202483204979,0.06262551942704842,0.0644812744949921,1991.868223994422,1976.262255903156,15.605968091265822,0.007896709075250674,498.99753113122915,414.67289830070376,84.32463283052539,0.20335216787998675,92.52789397215649,96.19584089418744,-3.66794692203095,-0.038129994893080485,80.93082619993947,161.8196537999902,0.5001297697742595,1.99948105558956,1.0842970902772828,0.6301752285715858,1231731,3179054,914172,2081190,right,1.0338457677475463,0.9712202483204979,0.0644812744949921,20,245,155.77694289991632
ABMA1_vs_HGA72,w45,79,ABMA1,HGA-budget72,1.0338457677475463,1.295380712764493,-0.26153494501694663,-0.20189813113613578,1991.868223994422,2045.9095517463795,-54.041327751957624,-0.02641432887677179,498.99753113122915,863.6972631948972,-364.6997320636681,-0.4222541249171145,92.52789397215649,91.79419083381089,0.7337031383456036,0.0079929147114978,80.93082619993947,3.3562588999047875,24.113403826574693,0.041470710945334416,1.0842970902772828,0.008539034723071381,1231731,649,914172,421,left,,,,,,
ABMA20_vs_HGA252,w45,79,ABMA20,HGA-budget252,0.9712202483204979,1.295380712764493,-0.32416046444399504,-0.25024339273370755,1976.262255903156,2045.9095517463795,-69.64729584322345,-0.03404221647226429,414.67289830070376,863.6972631948972,-449.02436489419347,-0.5198862888985085,96.19584089418744,91.79419083381089,4.401650060376554,0.04795129212855677,161.8196537999902,4.04461759980768,40.00864106601441,0.02499460050017685,0.6301752285715858,0.0043126400791123395,3179054,1369,2081190,587,left,,,,,,
ABMA1_vs_ABMA20,w45,80,ABMA1,ABMA20,1.0219521035917327,0.9672441656402135,0.05470793795151918,0.05656062853096488,1988.5670931036875,1974.759046957762,13.808046145925573,0.006992268837657799,473.65831927465297,416.2194169944005,57.43890228025248,0.13800149617004825,97.20881315331114,94.79204182583378,2.4167713274773632,0.025495508704389127,90.18093369994313,173.4072764001321,0.5200527657896737,1.9228818031215558,1.214799875002225,0.6783665428566377,1324004,3265429,1016419,2186163,right,1.0219521035917327,0.9672441656402135,0.05656062853096488,19,230,162.69970340002328
ABMA1_vs_HGA72,w45,80,ABMA1,HGA-budget72,1.0219521035917327,1.3141029254432202,-0.29215082185148744,-0.22231958866764634,1988.5670931036875,2054.291681539805,-65.7245884361173,-0.03199379573345354,473.65831927465297,855.5347265786365,-381.87640730398357,-0.44635991437909606,97.20881315331114,96.48086666050142,0.7279464928097212,0.007544982938132513,90.18093369994313,3.131993900053203,28.793457643200142,0.03473011169383333,1.214799875002225,0.004284969446921928,1324004,649,1016419,420,left,,,,,,
ABMA20_vs_HGA252,w45,80,ABMA20,HGA-budget252,0.9672441656402135,1.3141029254432202,-0.3468587598030066,-0.26395098366135833,1974.759046957762,2054.291681539805,-79.53263458204287,-0.038715356391079175,416.2194169944005,855.5347265786365,-439.31530958423605,-0.5134979281800741,94.79204182583378,96.48086666050142,-1.688824834667642,-0.017504246107265066,173.4072764001321,2.2390359002165496,77.4472961256945,0.01291200661643541,0.6783665428566377,0.0019491011903266468,3265429,1369,2186163,586,left,,,,,,
ABMA1_vs_ABMA20,w60,78,ABMA1,ABMA20,1.196765716606657,0.9913705187461362,0.20539519786052074,0.20718308036868002,3419.8016706575004,3240.1277334350407,179.6739372224597,0.05545273273284733,2058.581999093539,1494.0027821956824,564.5792168978564,0.37789703180345796,95.95503129777346,103.90452279473989,-7.949491496966431,-0.07650765609761186,218.9572711000219,521.4299118001945,0.4199169747360478,2.3814231387730445,3.014363776391191,2.0558734265874907,2667497,6757511,2331347,5566140,right,1.196765716606657,0.9913705187461362,0.20718308036868002,20,249,514.1476847000886
ABMA1_vs_HGA72,w60,78,ABMA1,HGA-budget72,1.196765716606657,1.289172623661267,-0.09240690705461008,-0.07167923469564011,3419.8016706575004,3523.4533229869257,-103.65165232942536,-0.02941763174587966,2058.581999093539,2071.667766011622,-13.085766918083209,-0.00631653739695721,95.95503129777346,106.6477029012463,-10.692671603472846,-0.1002616213250655,218.9572711000219,3.5969127998687327,60.87366674777677,0.01642746450847767,3.014363776391191,0.00937223194503329,2667497,920,2331347,701,left,,,,,,
ABMA20_vs_HGA252,w60,78,ABMA20,HGA-budget252,0.9913705187461362,1.289172623661267,-0.2978021049151308,-0.23100250459040075,3240.1277334350407,3523.4533229869257,-283.32558955188506,-0.08041133614669325,1494.0027821956824,2071.667766011622,-577.6649838159396,-0.2788405521837419,103.90452279473989,106.6477029012463,-2.743180106506415,-0.025721886471821585,521.4299118001945,4.287843800149858,121.60655474016353,0.008223240944015706,2.0558734265874907,0.0037919865082210254,6757511,1640,5566140,880,left,,,,,,
ABMA1_vs_ABMA20,w60,79,ABMA1,ABMA20,1.186127105897115,1.0463537168050627,0.13977338909205228,0.13358139494055266,3349.4643761104144,3288.3849725479845,61.07940356242989,0.018574286183744144,2400.467237173473,1642.325291847206,758.1419453262672,0.4616271508998968,94.98719490700725,102.02811734239805,-7.040922435390797,-0.06900962811811998,246.2739268001169,597.3731845000293,0.4122614358832252,2.4256452652613723,3.365116355555882,2.3612944095234742,2760939,7674119,2357777,6391681,right,1.186127105897115,1.0463537168050627,0.13358139494055266,16,194,500.60488329990767
ABMA1_vs_HGA72,w60,79,ABMA1,HGA-budget72,1.186127105897115,1.289647146362869,-0.10352004046575392,-0.08027004964707332,3349.4643761104144,3522.4407926196427,-172.97641650922833,-0.04910697629656554,2400.467237173473,2068.8011616409303,331.6660755325429,0.16031800526903814,94.98719490700725,108.32716192150659,-13.339967014499337,-0.12314517225297032,246.2739268001169,3.367187700001523,73.13935210680579,0.013672530193317746,3.365116355555882,0.008424133333998421,2760939,920,2357777,701,left,,,,,,
ABMA20_vs_HGA252,w60,79,ABMA20,HGA-budget252,1.0463537168050627,1.289647146362869,-0.2432934295578062,-0.18865115953922373,3288.3849725479845,3522.4407926196427,-234.05582007165822,-0.0664470558489049,1642.325291847206,2068.8011616409303,-426.4758697937243,-0.20614637970110788,102.02811734239805,108.32716192150659,-6.299044579108539,-0.05814833941345939,597.3731845000293,3.6645772999618202,163.01284857772086,0.006134485770446632,2.3612944095234742,0.0036959892853961457,7674119,1640,6391681,790,left,,,,,,
ABMA1_vs_ABMA20,w60,80,ABMA1,ABMA20,1.1736792273466667,0.991099007497268,0.18258021984939876,0.18421996033519594,3401.113668264362,3240.8863342215213,160.22733404284054,0.049439356249847626,1957.6135376220564,1491.2139398308427,466.39959779121364,0.3127650468745753,100.69798257535996,103.39710135188453,-2.699118776524571,-0.026104395009477477,230.75609809998423,525.3271097999532,0.43926173577422484,2.2765470300695343,3.163560576387681,2.073469828571274,2766422,7169872,2420442,6000791,right,1.1736792273466667,0.991099007497268,0.18421996033519594,16,194,445.90883579989895
ABMA1_vs_HGA72,w60,80,ABMA1,HGA-budget72,1.1736792273466667,1.28871204729149,-0.11503281994482317,-0.08926184882541432,3401.113668264362,3520.518813801758,-119.40514553739604,-0.03391691732175467,1957.6135376220564,2064.397995976846,-106.78445835478942,-0.05172668185247895,100.69798257535996,109.48881749487849,-8.790834919518531,-0.0802897969003066,230.75609809998423,3.791008200030774,60.869321806824644,0.016428637124849325,3.163560576387681,0.0101708958326425,2766422,920,2420442,702,left,,,,,,
ABMA20_vs_HGA252,w60,80,ABMA20,HGA-budget252,0.991099007497268,1.28871204729149,-0.29761303979422193,-0.2309383546306724,3240.8863342215213,3520.518813801758,-279.6324795802366,-0.07942933822252904,1491.2139398308427,2064.397995976846,-573.1840561460031,-0.2776519146322751,103.39710135188453,109.48881749487849,-6.09171614299396,-0.055637792811845,525.3271097999532,4.325177100021392,121.4579421030771,0.008233302678151215,2.073469828571274,0.004319451587636852,7169872,1640,6000791,881,left,,,,,,
