comparison,instance,metric,mean,median,minimum,maximum,standard_deviation,wins_left,ties,losses_left,exploratory_wilcoxon_p,statistical_label
ABMA1_vs_ABMA20,w30,fitness_relative_degradation,0.26980676782929636,0.26203951542033604,0.16173118216168866,0.38564960590586433,0.11216110190483788,0,0,3,0.25,exploratory only; n=3; not inferential evidence
ABMA1_vs_ABMA20,w45,wall_time_ratio_left_over_right,0.4701318565264802,0.5001297697742595,0.3902130340155074,0.5200527657896737,0.06992492464216772,,,,0.25,exploratory only; n=3; not inferential evidence
ABMA1_vs_ABMA20,w60,fitness_relative_degradation,0.1749948118814762,0.18421996033519594,0.13358139494055266,0.20718308036868002,0.03765806085634429,0,0,3,0.25,exploratory only; n=3; not inferential evidence
ABMA1_vs_ABMA20,w60,makespan_relative_degradation,0.04115545838881303,0.049439356249847626,0.018574286183744144,0.05545273273284733,0.019785655859682925,0,0,3,0.25,exploratory only; n=3; not inferential evidence
ABMA1_vs_ABMA20,w60,load_imbalance_relative_degradation,0.38409640985931004,0.37789703180345796,0.3127650468745753,0.4616271508998968,0.07462443111958005,0,0,3,0.25,exploratory only; n=3; not inferential evidence
ABMA1_vs_ABMA20,w60,total_idle_distance_relative_degradation,-0.0572072264084031,-0.06900962811811998,-0.07650765609761186,-0.026104395009477477,0.027195490373733033,3,0,0,0.25,exploratory only; n=3; not inferential evidence
ABMA1_vs_ABMA20,w60,speedup_right_over_left,2.361205144701317,2.3814231387730445,2.2765470300695343,2.4256452652613723,0.07657771475790762,,,,0.25,exploratory only; n=3; not inferential evidence
ABMA1_vs_ABMA20,w60,wall_time_ratio_left_over_right,0.4238133821311659,0.4199169747360478,0.4122614358832252,0.43926173577422484,0.013915478485935261,,,,0.25,exploratory only; n=3; not inferential evidence
ABMA1_vs_HGA72,w30,fitness_relative_degradation,-0.716833229422592,-0.7144513305087585,-0.7280933514183715,-0.7079550063406459,0.010278293508368959,3,0,0,0.25,exploratory only; n=3; not inferential evidence
ABMA1_vs_HGA72,w30,makespan_relative_degradation,-0.2250067241587876,-0.22431031327275738,-0.22639954593084805,-0.22431031327275738,0.001206219037548401,3,0,0,0.25,exploratory only; n=3; not inferential evidence
ABMA1_vs_HGA72,w30,load_imbalance_relative_degradation,-0.8205962674801883,-0.8173951080453338,-0.8570110622431764,-0.7873826321520548,0.034924420332112426,3,0,0,0.25,exploratory only; n=3; not inferential evidence
ABMA1_vs_HGA72,w30,total_idle_distance_relative_degradation,0.15523486495316358,0.17809008862250567,0.08563090545417303,0.20198360078281202,0.06145126820734877,0,0,3,0.25,exploratory only; n=3; not inferential evidence
ABMA1_vs_HGA72,w30,speedup_right_over_left,0.10744737690179311,0.1106036464258305,0.07180090765684888,0.13993757662269996,0.034177813599201586,,,,0.25,exploratory only; n=3; not inferential evidence
ABMA1_vs_HGA72,w30,wall_time_ratio_left_over_right,10.038245733989385,9.04129323322616,7.146043429751556,13.92740053899044,3.4988765021560457,,,,0.25,exploratory only; n=3; not inferential evidence
ABMA1_vs_HGA72,w45,fitness_relative_degradation,-0.203943150184419,-0.20189813113613578,-0.22231958866764634,-0.18761173074947485,0.017444065681425182,3,0,0,0.25,exploratory only; n=3; not inferential evidence
ABMA1_vs_HGA72,w45,makespan_relative_degradation,-0.02924292387600437,-0.029320647017787783,-0.03199379573345354,-0.02641432887677179,0.0027905453349263186,3,0,0,0.25,exploratory only; n=3; not inferential evidence
ABMA1_vs_HGA72,w45,load_imbalance_relative_degradation,-0.39411855623585296,-0.4222541249171145,-0.44635991437909606,-0.31374162941134826,0.07064424991257379,3,0,0,0.25,exploratory only; n=3; not inferential evidence
ABMA1_vs_HGA72,w45,total_idle_distance_relative_degradation,-0.028478646662503874,0.007544982938132513,-0.10097383763714193,0.0079929147114978,0.06278307651394069,1,0,2,1.0,exploratory only; n=3; not inferential evidence
ABMA1_vs_HGA72,w45,speedup_right_over_left,0.0390583754895099,0.04097430382936194,0.03473011169383333,0.041470710945334416,0.003756594950206955,,,,0.25,exploratory only; n=3; not inferential evidence
ABMA1_vs_HGA72,w45,wall_time_ratio_left_over_right,25.770800399790033,24.40553972959526,24.113403826574693,28.793457643200142,2.6217700995344946,,,,0.25,exploratory only; n=3; not inferential evidence
ABMA1_vs_HGA72,w60,fitness_relative_degradation,-0.08040371105604259,-0.08027004964707332,-0.08926184882541432,-0.07167923469564011,0.008792069093127039,3,0,0,0.25,exploratory only; n=3; not inferential evidence
ABMA1_vs_HGA72,w60,makespan_relative_degradation,-0.03748050845473329,-0.03391691732175467,-0.04910697629656554,-0.02941763174587966,0.010317071218673875,3,0,0,0.25,exploratory only; n=3; not inferential evidence
ABMA1_vs_HGA72,w60,load_imbalance_relative_degradation,0.034091595339867324,-0.00631653739695721,-0.05172668185247895,0.16031800526903814,0.11164833284726262,2,0,1,1.0,exploratory only; n=3; not inferential evidence
ABMA1_vs_HGA72,w60,total_idle_distance_relative_degradation,-0.10123219682611415,-0.1002616213250655,-0.12314517225297032,-0.0802897969003066,0.02144416731320783,3,0,0,0.25,exploratory only; n=3; not inferential evidence
ABMA1_vs_HGA72,w60,speedup_right_over_left,0.015509543942214913,0.01642746450847767,0.013672530193317746,0.016428637124849325,0.0015909006816848144,,,,0.25,exploratory only; n=3; not inferential evidence
ABMA1_vs_HGA72,w60,wall_time_ratio_left_over_right,64.96078022046906,60.87366674777677,60.869321806824644,73.13935210680579,7.0828513534177056,,,,0.25,exploratory only; n=3; not inferential evidence
ABMA20_vs_HGA252,w30,fitness_relative_degradation,-0.7763077900944014,-0.77374031002814,-0.7892360432142362,-0.7659470170408279,0.011854899849615418,3,0,0,0.25,exploratory only; n=3; not inferential evidence
ABMA20_vs_HGA252,w30,makespan_relative_degradation,-0.23779292248693096,-0.23734379161324687,-0.23943097725453386,-0.23660399859301218,0.0014660289882696407,3,0,0,0.25,exploratory only; n=3; not inferential evidence
ABMA20_vs_HGA252,w30,load_imbalance_relative_degradation,-0.9387080313707047,-0.9232957364767286,-0.992744370030578,-0.9000839876048075,0.04821452834205344,3,0,0,0.25,exploratory only; n=3; not inferential evidence
ABMA20_vs_HGA252,w30,total_idle_distance_relative_degradation,0.42755763203452196,0.2988876148795455,0.24500028327726958,0.7387849979467508,0.2708741702272509,0,0,3,0.25,exploratory only; n=3; not inferential evidence
ABMA20_vs_HGA252,w30,speedup_right_over_left,0.05645166718258882,0.0608710220085906,0.03789406761652891,0.07058991192264696,0.016789954780494706,,,,0.25,exploratory only; n=3; not inferential evidence
ABMA20_vs_HGA252,w30,wall_time_ratio_left_over_right,18.99462112189482,16.42817825300965,14.166330184627638,26.389354928047172,6.503118883966385,,,,0.25,exploratory only; n=3; not inferential evidence
ABMA20_vs_HGA252,w45,fitness_relative_degradation,-0.253414445699439,-0.25024339273370755,-0.26395098366135833,-0.24604896070325105,0.009362814169989467,3,0,0,0.25,exploratory only; n=3; not inferential evidence
ABMA20_vs_HGA252,w45,makespan_relative_degradation,-0.03525758738161797,-0.03404221647226429,-0.038715356391079175,-0.03301518928151046,0.003038226638144304,3,0,0,0.25,exploratory only; n=3; not inferential evidence
ABMA20_vs_HGA252,w45,load_imbalance_relative_degradation,-0.5087365574563115,-0.5134979281800741,-0.5198862888985085,-0.492825455290352,0.014144792938354064,3,0,0,0.25,exploratory only; n=3; not inferential evidence
ABMA20_vs_HGA252,w45,total_idle_distance_relative_degradation,-0.011515820102902495,-0.017504246107265066,-0.06499450632999919,0.04795129212855677,0.056710530608234305,2,0,1,0.75,exploratory only; n=3; not inferential evidence
ABMA20_vs_HGA252,w45,speedup_right_over_left,0.018447759022097204,0.01743666994967935,0.01291200661643541,0.02499460050017685,0.0061044241803898764,,,,0.25,exploratory only; n=3; not inferential evidence
ABMA20_vs_HGA252,w45,wall_time_ratio_left_over_right,58.2687791349775,57.35040021322359,40.00864106601441,77.4472961256945,18.736215948060828,,,,0.25,exploratory only; n=3; not inferential evidence
ABMA20_vs_HGA252,w60,fitness_relative_degradation,-0.2168640062534323,-0.2309383546306724,-0.23100250459040075,-0.18865115953922373,0.02443306302111761,3,0,0,0.25,exploratory only; n=3; not inferential evidence
ABMA20_vs_HGA252,w60,makespan_relative_degradation,-0.0754292434060424,-0.07942933822252904,-0.08041133614669325,-0.0664470558489049,0.0077942831591149234,3,0,0,0.25,exploratory only; n=3; not inferential evidence
ABMA20_vs_HGA252,w60,load_imbalance_relative_degradation,-0.2542129488390416,-0.2776519146322751,-0.2788405521837419,-0.20614637970110788,0.04163111235994076,3,0,0,0.25,exploratory only; n=3; not inferential evidence
ABMA20_vs_HGA252,w60,total_idle_distance_relative_degradation,-0.04650267289904199,-0.055637792811845,-0.05814833941345939,-0.025721886471821585,0.018040413644371638,3,0,0,0.25,exploratory only; n=3; not inferential evidence
ABMA20_vs_HGA252,w60,speedup_right_over_left,0.007530343130871185,0.008223240944015706,0.006134485770446632,0.008233302678151215,0.0012088584026311775,,,,0.25,exploratory only; n=3; not inferential evidence
ABMA20_vs_HGA252,w60,wall_time_ratio_left_over_right,135.3591151403205,121.60655474016353,121.4579421030771,163.01284857772086,23.948950941514568,,,,0.25,exploratory only; n=3; not inferential evidence
