instance,seed,algorithm,trace_type,objective_evaluation_count,best_fitness,best_makespan,best_load_imbalance,best_total_idle_distance,elapsed_algorithm_time,generation
w30,80,ABMA20,primary_evaluation,136,0.9886772272168055,1272.9847950677206,113.92679759813632,72.03155910158958,34.17604469996877,
w30,80,ABMA20,primary_evaluation,137,0.9886772272168055,1272.9847950677206,113.92679759813632,72.03155910158958,34.263183400034904,
w30,80,ABMA20,primary_evaluation,138,0.9886772272168055,1272.9847950677206,113.92679759813632,72.03155910158958,34.35607620002702,
w30,80,ABMA20,primary_evaluation,139,0.9886772272168055,1272.9847950677206,113.92679759813632,72.03155910158958,34.66001039999537,
w30,80,ABMA20,primary_evaluation,140,0.9886772272168055,1272.9847950677206,113.92679759813632,72.03155910158958,34.80878429999575,
w30,80,ABMA20,primary_evaluation,141,0.9886772272168055,1272.9847950677206,113.92679759813632,72.03155910158958,34.94548390014097,
w30,80,ABMA20,primary_evaluation,142,0.9886772272168055,1272.9847950677206,113.92679759813632,72.03155910158958,35.05166220013052,
w30,80,ABMA20,primary_evaluation,143,0.9886772272168055,1272.9847950677206,113.92679759813632,72.03155910158958,35.14663280011155,
w30,80,ABMA20,primary_evaluation,144,0.9886772272168055,1272.9847950677206,113.92679759813632,72.03155910158958,35.393459300044924,
w30,80,ABMA20,primary_evaluation,145,0.9886772272168055,1272.9847950677206,113.92679759813632,72.03155910158958,35.48402510001324,
w30,80,ABMA20,primary_evaluation,146,0.9519704476245511,1269.308863646738,98.89588746655477,71.29552218679393,35.5816305000335,
w30,80,ABMA20,primary_evaluation,147,0.9132388296620755,1248.2409632862032,134.77353589066274,75.54232194242371,35.84243419999257,
w30,80,ABMA20,primary_evaluation,148,0.9132388296620755,1248.2409632862032,134.77353589066274,75.54232194242371,36.02121830009855,
w30,80,ABMA20,primary_evaluation,149,0.9132388296620755,1248.2409632862032,134.77353589066274,75.54232194242371,36.10120090004057,
w30,80,ABMA20,primary_evaluation,150,0.9132388296620755,1248.2409632862032,134.77353589066274,75.54232194242371,36.264979700092226,
w30,80,ABMA20,primary_evaluation,151,0.9132388296620755,1248.2409632862032,134.77353589066274,75.54232194242371,36.37428510002792,
w30,80,ABMA20,primary_evaluation,152,0.9132388296620755,1248.2409632862032,134.77353589066274,75.54232194242371,36.489113999996334,
w30,80,ABMA20,primary_evaluation,153,0.9132388296620755,1248.2409632862032,134.77353589066274,75.54232194242371,36.666794599965215,
w30,80,ABMA20,primary_evaluation,154,0.9132388296620755,1248.2409632862032,134.77353589066274,75.54232194242371,36.7945669000037,
